"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4628","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","2.046474","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","2.708098","0","9"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","21","6","25.540834","5","215"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","27","8","146.385620","0","1773"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","5","1","12.287324","0","110"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","2.749178","0","9"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","2","1","2.784921","0","13"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","2","1","2.735404","0","17"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","4","1","3.464463","0","20"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","1.946087","0","4"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","9","1","4.579553","0","13"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","2.481535","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","1","1","21.125177","0","259"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","32","8","779.372314","0","1347"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","4","1","10.229495","0","68"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","6","1","5.226481","0","50"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","1","1","2.330526","0","14"
"/Interchange/gltf/M_Sheen.M_Sheen","0","112","23","4","69.126900","0","702"
"/Interchange/gltf/M_Transmission.M_Transmission","0","108","8","4","487.291107","0","671"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","7","2","16.541008","0","157"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","14","1","1","10.350614","0","96"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","1","1","10.731799","0","86"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","14","5","1","11.664148","0","63"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","24","2","1","104.762993","0","168"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","14","6","1","10.496082","0","51"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","4","1","90.491165","0","3128"
"/Paper2D/DefaultLitSpriteMaterial.DefaultLitSpriteMaterial","0","44","6","2","26.131496","0","258"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","4","1","1.794121","0","4"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","2.499600","0","9"
"/Game/Assets/Items/Materials/MUI_Circle.MUI_Circle","0","23","3","1","7.529162","0","149"
